Frequency [Hz]	FFT(A) [dB]
5,9	-5,30
8,8	2,50
11,7	4,60
14,6	7,10
17,6	9,50
20,5	21,40
23,4	26,80
26,4	26,90
29,3	28,80
32,2	31,20
35,2	35,50
38,1	36,10
41,0	30,00
43,9	23,40
46,9	27,10
49,8	30,00
52,7	32,40
55,7	33,50
58,6	33,70
61,5	33,20
64,5	31,50
67,4	30,40
70,3	31,50
73,2	33,30
76,2	30,10
79,1	25,50
82,0	29,50
85,0	30,40
87,9	28,70
90,8	26,00
93,8	25,60
96,7	26,70
99,6	28,10
102,5	26,50
105,5	22,10
108,4	17,60
111,3	26,90
114,3	32,20
117,2	34,70
120,1	35,70
123,0	35,20
126,0	30,30
128,9	20,30
131,8	28,20
134,8	35,60
137,7	37,50
140,6	35,20
143,6	33,30
146,5	31,00
149,4	28,40
152,3	31,30
155,3	32,10
158,2	33,00
161,1	32,70
164,1	29,80
167,0	26,90
169,9	25,40
172,9	25,90
175,8	29,30
178,7	32,80
181,6	33,50
184,6	30,50
187,5	26,40
190,4	26,90
193,4	26,40
196,3	26,60
199,2	27,30
202,1	28,30
205,1	29,30
208,0	29,50
210,9	27,80
213,9	27,40
216,8	28,70
219,7	28,10
222,7	27,90
225,6	27,00
228,5	24,20
231,4	24,70
234,4	25,60
237,3	27,10
240,2	27,60
243,2	27,00
246,1	29,00
249,0	29,60
252,0	31,10
254,9	28,70
257,8	27,30
260,7	24,50
263,7	21,80
266,6	27,00
269,5	31,40
272,5	34,00
275,4	35,50
278,3	36,40
281,3	35,60
284,2	35,50
287,1	33,50
290,0	27,00
293,0	30,70
295,9	34,30
298,8	32,00
301,8	25,30
304,7	27,20
307,6	31,10
310,5	29,90
313,5	25,40
316,4	26,50
319,3	27,10
322,3	26,50
325,2	26,80
328,1	26,70
331,1	26,40
334,0	26,10
336,9	25,90
339,8	25,00
342,8	23,00
345,7	24,00
348,6	25,40
351,6	27,00
354,5	28,70
357,4	31,20
360,4	33,00
363,3	31,20
366,2	28,70
369,1	30,90
372,1	32,00
375,0	31,80
377,9	30,00
380,9	30,10
383,8	32,10
386,7	31,90
389,6	29,70
392,6	29,40
395,5	30,70
398,4	32,20
401,4	31,80
404,3	30,50
407,2	33,70
410,2	36,30
413,1	37,80
416,0	37,90
418,9	37,30
421,9	36,50
424,8	35,00
427,7	34,30
430,7	36,20
433,6	36,00
436,5	33,10
439,5	29,30
442,4	29,90
445,3	29,40
448,2	29,80
451,2	34,00
454,1	36,10
457,0	34,80
460,0	31,20
462,9	30,80
465,8	34,90
468,8	36,50
471,7	33,60
474,6	28,50
477,5	24,40
480,5	31,30
483,4	32,90
486,3	30,30
489,3	29,10
492,2	32,30
495,1	33,90
498,0	32,40
501,0	29,60
503,9	27,60
506,8	31,40
509,8	34,20
512,7	33,70
515,6	30,70
518,6	32,80
521,5	36,40
524,4	37,50
527,3	36,10
530,3	32,50
533,2	30,90
536,1	35,50
539,1	38,40
542,0	36,90
544,9	33,10
547,9	34,40
550,8	34,80
553,7	38,00
556,6	40,30
559,6	39,70
562,5	38,40
565,4	38,10
568,4	36,70
571,3	37,40
574,2	37,50
577,1	37,80
580,1	38,00
583,0	36,40
585,9	34,40
588,9	34,20
591,8	33,90
594,7	33,90
597,7	35,10
600,6	38,70
603,5	42,10
606,4	41,10
609,4	36,80
612,3	34,60
615,2	39,20
618,2	41,00
621,1	39,00
624,0	36,40
627,0	38,40
629,9	38,20
632,8	35,20
635,7	30,90
638,7	27,20
641,6	29,70
644,5	32,00
647,5	34,00
650,4	35,30
653,3	37,00
656,3	38,10
659,2	37,60
662,1	37,00
665,0	38,00
668,0	38,90
670,9	39,40
673,8	39,00
676,8	37,80
679,7	34,20
682,6	28,20
685,5	30,00
688,5	30,90
691,4	33,00
694,3	33,30
697,3	29,70
700,2	31,60
703,1	33,60
706,1	35,10
709,0	37,20
711,9	36,80
714,8	34,90
717,8	33,70
720,7	36,30
723,6	38,90
726,6	39,10
729,5	35,90
732,4	32,50
735,4	31,10
738,3	32,80
741,2	34,50
744,1	32,90
747,1	31,40
750,0	31,20
752,9	31,60
755,9	29,40
758,8	26,20
761,7	23,80
764,6	26,30
767,6	29,50
770,5	33,40
773,4	35,00
776,4	35,90
779,3	36,90
782,2	35,90
785,2	31,90
788,1	32,60
791,0	35,50
793,9	35,50
796,9	32,60
799,8	32,10
802,7	35,80
805,7	38,20
808,6	38,00
811,5	33,90
814,5	31,90
817,4	33,10
820,3	33,60
823,2	31,70
826,2	29,00
829,1	31,90
832,0	33,90
835,0	31,60
837,9	29,10
840,8	33,20
843,8	32,60
846,7	31,00
849,6	31,10
852,5	33,30
855,5	34,80
858,4	35,20
861,3	34,00
864,3	32,30
867,2	33,70
870,1	30,80
873,0	29,70
876,0	31,80
878,9	35,20
881,8	36,10
